opened,closed,side,entry_type,entry,exit,amount,leverage,gross_pnl,net_pnl,fees,reason,sentiment
2022-06-10 16:00:00+00:00,2022-06-13 04:00:00+00:00,short,squeeze_breakout,28980.02,24811.59,0.022815938776042016,0.5909741190453993,95.10664367221683,94.54054395384058,1.2273060804247296,take_profit,47.657376569707445
2022-06-30 04:00:00+00:00,2022-06-30 20:00:00+00:00,short,squeeze_breakout,19435.9,19942.21,0.03084093975953654,0.49427816277781295,-15.615076209650873,-16.2301127069329,1.2144579183544035,stop_loss,45.08951752569702
2022-07-05 08:00:00+00:00,2022-07-05 16:00:00+00:00,short,mean_reversion,19520.39,20398.21,0.04549388631073543,0.7425912460327818,-39.93544328128976,-40.86343712797226,1.8160522500837233,stop_loss,54.81460774773463
2022-07-26 00:00:00+00:00,2022-07-27 16:00:00+00:00,short,squeeze_breakout,21141.53,22773.62,0.024550830331846386,0.44972205128672665,-40.069164676303174,-40.62827595696512,1.0781533966475838,stop_loss,47.11268596022183
2022-07-28 00:00:00+00:00,2022-07-31 20:00:00+00:00,long,squeeze_breakout,23133.45,23293.32,0.020815186390915962,0.43264180458279144,3.327723848315714,2.8428690508524634,0.9663818710781855,stop_loss,64.27399390838477
2022-08-19 20:00:00+00:00,2022-08-24 16:00:00+00:00,short,squeeze_breakout,20834.39,21707.58,0.02578073589939357,0.48157445396354237,-22.51148077999153,-23.071118166986487,1.0967632932099243,stop_loss,41.92386594685925
2022-08-26 12:00:00+00:00,2022-08-29 12:00:00+00:00,short,squeeze_breakout,20781.08,20262.28,0.03221072095813311,0.6131223104060161,16.71092203307955,16.05825938602399,1.3220362161442023,stop_loss,49.29527032713499
2022-09-06 16:00:00+00:00,2022-09-09 00:00:00+00:00,short,squeeze_breakout,18824.41,19950.73,0.03495097231222655,0.5942651558712446,-39.365979134707,-40.0632765465457,1.355228844542708,stop_loss,42.44543236097205
2022-09-09 12:00:00+00:00,2022-09-13 12:00:00+00:00,long,squeeze_breakout,21266.79,20829.77,0.027233350177858686,0.5430970947635697,-11.901518694727814,-12.46878311526207,1.146430359763239,stop_loss,65.33645727776391
2022-09-13 16:00:00+00:00,2022-09-19 16:00:00+00:00,short,squeeze_breakout,20283.58,19514.8,0.017469303386500493,0.336388536472974,13.430051057473893,13.089141095747014,0.6952499745112335,stop_loss,40.359849781830064
2022-10-07 12:00:00+00:00,2022-10-13 16:00:00+00:00,short,squeeze_breakout,19577.65,19369.94,0.018396442171835753,0.3378286003056752,3.821125003512055,3.464787022430127,0.7164970871673685,stop_loss,76.94096111644149
2022-10-14 04:00:00+00:00,2022-10-16 16:00:00+00:00,short,mean_reversion,19642.35,19375.39,0.029881841511003003,0.5489590270358322,7.977256409777335,7.3982840765834625,1.1659219227975224,stop_loss,78.42491774305505
2022-11-03 00:00:00+00:00,2022-11-04 16:00:00+00:00,long,mean_reversion,20310.63,21108.54,0.08276018986928167,1.5621621710710651,66.03518309859852,64.2882363203352,3.4278583734280557,take_profit,71.85071585264369
2022-11-08 00:00:00+00:00,2022-11-08 16:00:00+00:00,short,squeeze_breakout,20148.66,18256.64,0.04697360428652203,0.8312275935230062,88.87499878218543,88.01741859922394,1.8040353647051646,trend_reversal,45.68064853727276
2022-12-12 00:00:00+00:00,2022-12-12 20:00:00+00:00,short,squeeze_breakout,16918.97,17209.83,0.0746880156451188,1.0309619938020076,-21.723756230539298,-23.009124282829134,2.549012348349131,stop_loss,81.43478190339793
2022-12-16 08:00:00+00:00,2022-12-20 00:00:00+00:00,short,squeeze_breakout,17027.09,16727.24,0.048718177924897604,0.6904560476641494,14.608145650780475,13.79322499626801,1.644449454675709,stop_loss,55.695103817207325
2022-12-28 00:00:00+00:00,2023-01-02 04:00:00+00:00,short,squeeze_breakout,16650.65,16721.28,0.11946479911981583,1.6380028528665593,-8.43779876183228,-10.435403118058474,3.986770913690556,stop_loss,51.531553819132824
2023-01-02 20:00:00+00:00,2023-01-04 00:00:00+00:00,short,mean_reversion,16672.87,16862.02,0.12952242610546502,1.796656537293949,-24.499166897848898,-26.683176637287772,4.343520311979898,stop_loss,77.93758821038044
2023-01-13 20:00:00+00:00,2023-01-14 00:00:00+00:00,long,squeeze_breakout,19930.01,20967.23,0.030172899593148696,0.512605021329443,31.295934916005727,30.66329279046927,1.2339883161569047,trend_reversal,70.0
2023-01-20 20:00:00+00:00,2023-01-21 12:00:00+00:00,long,squeeze_breakout,22667.21,22998.9,0.03434103817711352,0.6469651605379744,11.390578952966864,10.600772850035248,1.5682216269102658,trend_reversal,70.0
2023-02-14 16:00:00+00:00,2023-02-15 20:00:00+00:00,long,squeeze_breakout,22208.65,24324.05,0.04312908125660314,0.7896428943311614,91.23525849021819,90.18618456127851,2.0069125993891372,trend_reversal,67.00661959197274
2023-02-22 16:00:00+00:00,2023-02-23 08:00:00+00:00,long,mean_reversion,23791.67,23780.2,0.052533419600409345,0.9597821695790063,-0.6025583228165652,-1.8518135475982196,2.499113007886125,stop_loss,56.33476435065084
2023-03-08 20:00:00+00:00,2023-03-09 16:00:00+00:00,short,squeeze_breakout,21705.44,20854.93,0.047584279490109065,0.7950232194294946,40.47090554913258,39.47853873126592,2.025204541282453,trend_reversal,43.420986361941836
2023-03-09 20:00:00+00:00,2023-03-10 00:00:00+00:00,short,squeeze_breakout,20362.22,20052.07,0.03736376380966967,0.5687975226564399,11.588371345569103,10.83915053819414,1.5100299860954949,trend_reversal,35.79206135660888
2023-03-10 08:00:00+00:00,2023-03-10 12:00:00+00:00,short,squeeze_breakout,19760.78,20004.96,0.03436406408437047,0.5038839276770054,-8.391017168121591,-9.078468895566859,1.366512437722414,trend_reversal,38.12735122958513
2023-03-13 12:00:00+00:00,2023-03-14 12:00:00+00:00,long,squeeze_breakout,23981.72,25894.67,0.0216267231180022,0.3876580881970898,41.37083998858224,40.810823130260204,1.0786628766554935,trend_reversal,70.0
2023-03-17 08:00:00+00:00,2023-03-22 16:00:00+00:00,long,squeeze_breakout,26918.73,26667.33,0.02272686099158595,0.443900520507574,-5.713532853284658,-6.319597555211407,1.2178429367067842,stop_loss,70.0
